"","dist.type","sourceType","runs","mean","sd","CV"
"1","BRE","C4grass",10,0.545513644910916,0.067681338395366,12.4069010971153
"2","COL","C4grass",10,0.104735149898073,0.0313133005684412,29.8976041939262
"3","DRI","C4grass",10,0.536344304731141,0.19692455500343,36.7160708646184
"4","FLA","C4grass",10,0.986677359951848,0.0034106168671902,0.345666882166694
"5","HAN","C4grass",10,0.0365248826673345,0.00507756865118353,13.9016699859917
"6","HIB","C4grass",10,0.0132183013374791,0.00182761169655794,13.8263733735283
"7","KCA","C4grass",10,0.0944141275802562,0.0279204170599444,29.5722873001298
"8","KER","C4grass",10,0.0105577894161309,0.00167243889900716,15.8408056183797
"9","LBJ","C4grass",10,0.0509349930365163,0.00731142239083332,14.354419142831
"10","SCA","C4grass",10,0.00881621196789638,0.00108190863329648,12.2718083144573
"11","BRE","dicot",10,0.110529694241171,0.0414994626023753,37.5459851646972
"12","COL","dicot",10,0.533451047487562,0.0747334418552457,14.0094282703584
"13","DRI","dicot",10,0.429951846678572,0.195271294653591,45.4170149894888
"14","FLA","dicot",10,0.00985955251805712,0.00188571185002348,19.1257346271032
"15","HAN","dicot",10,0.176268056289326,0.0107187544374613,6.08093982716165
"16","HIB","dicot",10,0.019867578825842,0.00321802892016185,16.1973884607223
"17","KCA","dicot",10,0.393451042623997,0.0253754650697976,6.44945935345957
"18","KER","dicot",10,0.0297953483402882,0.00530576698462419,17.8073668548118
"19","LBJ","dicot",10,0.0748756016817812,0.0169228202595489,22.6012477755709
"20","SCA","dicot",10,0.552431777017657,0.0140095479322875,2.53597792797494
"21","BRE","soil",10,0.00188603401524806,0.0003405022840725,18.0538782079026
"22","COL","soil",10,0.0116211865096299,0.00637777032463674,54.880543560262
"23","DRI","soil",10,0.00394462000481466,0.00186941506875105,47.3915121474135
"24","FLA","soil",10,0.000898881010432854,0.000721861787691484,80.3067123805267
"25","HAN","soil",10,0.000910921500801804,0.000189210178932224,20.7712935489698
"26","HIB","soil",10,0.000497599493177701,6.87276393727658e-05,13.8118387006118
"27","KCA","soil",10,0.00168137950361086,0.000603689318833501,35.904405729762
"28","KER","soil",10,0.00329052498434926,0.000759734155060075,23.0885393265088
"29","LBJ","soil",10,0.00428169355417271,0.000684944391581208,15.9970437611934
"30","SCA","soil",10,0.000674164500802052,0.000176242130510653,26.1423035922209
"31","BRE","Unknown",10,0.342070626832665,0.0356841748525197,10.4318149684263
"32","COL","Unknown",10,0.350192616104736,0.0965068388119714,27.5582163568829
"33","DRI","Unknown",10,0.0297592285854728,0.00659353691702812,22.1562763231262
"34","FLA","Unknown",10,0.00256420651966211,0.00144862381009369,56.4940381746077
"35","HAN","Unknown",10,0.786296139542538,0.00927771881521142,1.17992679203654
"36","HIB","Unknown",10,0.966416520343501,0.00311938632609693,0.322778663281561
"37","KCA","Unknown",10,0.510453450292136,0.0219967667823762,4.30926008430099
"38","KER","Unknown",10,0.956356337259232,0.00586333605504087,0.613091148833109
"39","LBJ","Unknown",10,0.86990771172753,0.013411666558188,1.54173441359131
"40","SCA","Unknown",10,0.438077846513644,0.0141248108726154,3.22426960984787
