ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV62,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Incertae_sedis_3,100%,Myrothecium,100%,Myrothecium_gramineum|SH227386.06FU,100%
ASV63,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Incertae_sedis_13,100%,Ascochyta,99%,Ascochyta_sp|SH233956.06FU,95%
ASV64,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,71%,Capnodiales,71%,Davidiellaceae,71%,Davidiella,71%,Davidiella_tassiana|SH196750.06FU,71%
ASV65,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Incertae_sedis_3,100%,Myrothecium,99%,Myrothecium_gramineum|SH227386.06FU,98%
ASV66,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,55%,Ascomycota_unidentified_1,55%,Ascomycota_unidentified_1,55%,Ascomycota_unidentified_1_1,55%,Ascomycota_sp|SH240716.06FU,55%
ASV67,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Davidiellaceae,100%,Davidiella,100%,Davidiella_tassiana|SH196750.06FU,100%
ASV68,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariomycetes_unidentified,87%,Sordariomycetes_unidentified_1,87%,Sordariomycetes_unidentified_1,87%,Sordariomycetes_sp|SH237076.06FU,77%
ASV70,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,99%,Pleosporaceae,99%,Pleosporaceae_unidentified,60%,Pleosporaceae_sp|SH224800.06FU,13%
ASV71,+,Fungi,100%,Ascomycota,85%,Sordariomycetes,63%,Sordariales,18%,Cephalothecaceae,16%,Albertiniella,2%,Albertiniella_polyporicola|SH235766.06FU,2%
ASV73,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporales_unidentified,96%,Pleosporales_unidentified_1,96%,Pleosporales_sp|SH202150.06FU,96%
ASV75,+,Fungi,100%,Ascomycota,98%,Dothideomycetes,80%,Botryosphaeriales,80%,Botryosphaeriaceae,80%,Botryobambusa,47%,Botryobambusa_fusicoccum|SH236130.06FU,47%
ASV76,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Trichosphaeriales,100%,Incertae_sedis_26,100%,Incertae_sedis_26_unidentified,100%,Trichosphaeriales_sp|SH237073.06FU,83%
ASV77,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Incertae_sedis_13,100%,Ascochyta,99%,Ascochyta_hordei|SH233954.06FU,99%
ASV79,+,Fungi,100%,Ascomycota,100%,Pezizomycetes,100%,Pezizales,100%,Pezizaceae,100%,Pezizaceae_unidentified,100%,Pezizaceae_sp|SH224683.06FU,62%
ASV80,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Bipolaris,100%,Bipolaris_peregianensis|SH224809.06FU,100%
ASV82,+,Fungi,100%,Ascomycota,98%,Dothideomycetes,72%,Pleosporales,72%,Phaeosphaeriaceae,65%,Parastagonospora,45%,Parastagonospora_poae|SH207021.06FU,45%
ASV83,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Sphaerulina,72%,Sphaerulina_pseudovirgaureae|SH212655.06FU,72%
ASV84,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,100%,Ascomycota_unidentified_1,100%,Ascomycota_unidentified_1,100%,Ascomycota_unidentified_1_1,100%,Ascomycota_sp|SH202146.06FU,100%
ASV85,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Ceratobasidiaceae_unidentified,99%,Ceratobasidiaceae_sp|SH200581.06FU,98%
ASV86,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,63%,Ascomycota_unidentified_1,63%,Ascomycota_unidentified_1,63%,Ascomycota_unidentified_1_1,63%,Ascomycota_sp|SH207016.06FU,53%
ASV87,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,99%,Capnodiales,99%,Davidiellaceae,99%,Davidiella,99%,Davidiella_tassiana|SH196750.06FU,99%
ASV89,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,97%,Ascomycota_unidentified_1,97%,Ascomycota_unidentified_1,97%,Ascomycota_unidentified_1_1,97%,Ascomycota_sp|SH219194.06FU,97%
ASV90,+,Fungi,100%,Ascomycota,98%,Dothideomycetes,92%,Pleosporales,92%,Incertae_sedis_13,92%,Phoma,91%,Phoma_brasiliensis|SH202145.06FU,49%
ASV91,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_sp|SH196053.06FU,100%
ASV92,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,63%,Ascomycota_unidentified_1,63%,Ascomycota_unidentified_1,63%,Ascomycota_unidentified_1_1,63%,Ascomycota_sp|SH207016.06FU,54%
ASV93,+,Fungi,100%,Zygomycota,68%,Incertae_sedis_10,68%,Mortierellales,68%,Mortierellaceae,62%,Mortierella,60%,Mortierella_sp|SH227414.06FU,53%
ASV94,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,89%,Hypocreales,89%,Bionectriaceae,89%,Clonostachys,89%,Clonostachys_sp|SH236640.06FU,88%
ASV95,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Filobasidiales,100%,Filobasidiaceae,100%,Filobasidium,100%,Filobasidium_floriforme|SH216500.06FU,100%
ASV98,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Incertae_sedis_13,100%,Leptosphaerulina,100%,Leptosphaerulina_chartarum|SH227423.06FU,100%
ASV100,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporales_unidentified,100%,Pleosporales_unidentified_1,100%,Pleosporales_sp|SH206992.06FU,100%
ASV101,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_sp|SH190472.06FU,100%
ASV104,+,Fungi,100%,Glomeromycota,51%,Glomeromycetes,49%,Diversisporales,31%,Gigasporaceae,22%,Scutellospora,9%,Scutellospora_heterogama|SH197032.06FU,9%
ASV105,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Filobasidiales,100%,Filobasidiaceae,100%,Filobasidium,100%,Filobasidium_floriforme|SH216500.06FU,100%
ASV107,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,100%,Ascomycota_unidentified_1,100%,Ascomycota_unidentified_1,100%,Ascomycota_unidentified_1_1,100%,Ascomycota_sp|SH224131.06FU,100%
ASV110,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Incertae_sedis_3,100%,Myrothecium,100%,Myrothecium_gramineum|SH199496.06FU,98%
ASV111,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,99%,Cochliobolus,90%,Cochliobolus_homomorphus|SH224890.06FU,90%
ASV112,+,Fungi,100%,Ascomycota,99%,Ascomycota_unidentified,96%,Ascomycota_unidentified_1,96%,Ascomycota_unidentified_1,96%,Ascomycota_unidentified_1_1,96%,Ascomycota_sp|SH217298.06FU,96%
