ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV5866,+,Fungi,100%,Basidiomycota,86%,Microbotryomycetes,35%,Sporidiobolales,35%,Sporidiobolales_Incertae sedis,34%,Sporobolomyces,33%,Sporobolomyces lactophilus,14%
ASV5867,+,Fungi,100%,Ascomycota,59%,Eurotiomycetes,8%,Onygenales,8%,Arthrodermataceae,8%,Trichophyton,4%,Trichophyton raubitschekii,4%
ASV5868,+,Fungi,100%,Basidiomycota,76%,Agaricomycetes,70%,Trechisporales,59%,Hydnodontaceae,59%,Trechispora,59%,Trechispora sp 1 MPM 2013,53%
ASV5869,+,Fungi,100%,Ascomycota,98%,Pezizomycetes,92%,Pezizales,92%,Pyronemataceae,91%,Aleuria,64%,Aleuria aurantia,64%
ASV5870,+,Fungi,100%,Zygomycota,24%,Mucoromycotina_Incertae sedis,24%,Mucorales,17%,Syncephalastraceae,9%,Zychaea,8%,Zychaea mexicana,8%
ASV5871,+,Fungi,100%,Basidiomycota,50%,Microbotryomycetes,8%,Sporidiobolales,6%,Sporidiobolales_Incertae sedis,6%,Sporobolomyces,5%,Sporobolomyces lactophilus,3%
ASV5872,+,Fungi,100%,Neocallimastigomycota,6%,Neocallimastigomycetes,6%,Neocallimastigales,6%,Neocallimastigaceae,6%,Cyllamyces,6%,Cyllamyces aberensis,6%
ASV5874,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Strophariaceae,100%,Psilocybe,100%,Psilocybe coprophila,100%
ASV5876,+,Fungi,100%,Zygomycota,27%,Mucoromycotina_Incertae sedis,27%,Mucorales,21%,Mucoraceae,13%,Rhizopus,13%,Rhizopus microsporus var microsporus,13%
ASV5877,+,Fungi,100%,Ascomycota,89%,Sordariomycetes,71%,Microascales,2%,Microascaceae,2%,Microascus,1%,Scopulariopsis brevicaulis,1%
ASV5878,+,Fungi,100%,Basidiomycota,95%,Agaricomycetes,92%,Agaricales,89%,Entolomataceae,24%,Entoloma,24%,Entoloma conferendum,8%
ASV5879,+,Fungi,100%,Ascomycota,100%,Saccharomycetes,100%,Saccharomycetales,100%,Dipodascaceae,100%,Basidioascus,100%,Basidioascus undulatus,60%
ASV5880,+,Fungi,100%,Basidiomycota,72%,Agaricomycetes,42%,Agaricales,22%,Agaricaceae,9%,Macrolepiota,9%,Macrolepiota fuliginosa,9%
ASV5881,+,Fungi,100%,Ascomycota,91%,Eurotiomycetes,34%,Chaetothyriales,24%,Herpotrichiellaceae,22%,Exophiala,19%,Exophiala jeanselmei,19%
ASV5882,+,Fungi,100%,Ascomycota,19%,Saccharomycetes,11%,Saccharomycetales,11%,Dipodascaceae,5%,Geotrichum,5%,Geotrichum silvicola,5%
ASV5883,+,Fungi,100%,Chytridiomycota,41%,Chytridiomycetes,41%,Spizellomycetales,41%,Spizellomycetaceae,41%,Spizellomyces,38%,Spizellomyces plurigibbosus,27%
ASV5884,+,Fungi,100%,Chytridiomycota,58%,Chytridiomycetes,58%,Spizellomycetales,55%,Spizellomycetaceae,55%,Spizellomyces,55%,Spizellomyces pseudodichotomus,33%
ASV5885,+,Fungi,100%,Glomeromycota,4%,Glomeromycetes,4%,Diversisporales,3%,Acaulosporaceae,3%,Acaulospora,3%,Acaulospora spinosa,2%
ASV5886,+,Fungi,100%,Zygomycota,25%,Mucoromycotina_Incertae sedis,25%,Mortierellales,18%,Mortierellaceae,18%,Mortierella,18%,Mortierella epigama,13%
ASV5887,+,Fungi,100%,Basidiomycota,42%,Agaricomycetes,32%,Agaricales,23%,Psathyrellaceae,8%,Psathyrella,7%,Psathyrella fibrillosa,7%
ASV5888,+,Fungi,100%,Basidiomycota,50%,Pucciniomycetes,11%,Pucciniales,11%,Pucciniaceae,9%,Puccinia,9%,Puccinia tanaceti,7%
ASV5889,+,Fungi,100%,Basidiomycota,57%,Pucciniomycetes,22%,Pucciniales,22%,Pucciniaceae,18%,Puccinia,18%,Puccinia psidii,8%
ASV5890,+,Fungi,100%,Basidiomycota,52%,Pucciniomycetes,3%,Pucciniales,3%,Pucciniaceae,2%,Puccinia,2%,Puccinia funkiae,2%
ASV5891,+,Fungi,100%,Ascomycota,26%,Saccharomycetes,11%,Saccharomycetales,11%,Saccharomycetales_Incertae sedis,7%,Candida,7%,Candida digboiensis,6%
ASV5893,+,Fungi,100%,Basidiomycota,54%,Agaricomycetes,23%,Agaricales,19%,Tricholomataceae,5%,Melanoleuca,5%,Melanoleuca substrictipes,5%
ASV5894,+,Fungi,100%,Zygomycota,13%,Mucoromycotina_Incertae sedis,13%,Mucorales,13%,Mycotyphaceae,2%,Mycotypha,2%,Mycotypha microspora,2%
ASV5896,+,Fungi,100%,Ascomycota,70%,Pezizomycotina_Incertae sedis,44%,Pezizomycotina_Incertae sedis,44%,Pezizomycotina_Incertae sedis,44%,Scolecobasidium,35%,Scolecobasidium terreum,35%
ASV5897,+,Fungi,100%,Basidiomycota,57%,Ustilaginomycetes,13%,Ustilaginales,13%,Ustilaginales_Incertae sedis,8%,Farysizyma,8%,Farysizyma itapuensis,8%
ASV5898,+,Fungi,100%,Zygomycota,32%,Mucoromycotina_Incertae sedis,30%,Mortierellales,20%,Mortierellaceae,20%,Mortierella,20%,Mortierella epigama,17%
ASV5899,+,Fungi,100%,Chytridiomycota,22%,Chytridiomycetes,22%,Rhizophydiales,22%,Rhizophydiaceae,20%,Rhizophydium,20%,Rhizophydium pollinis_pini,9%
ASV5900,+,Fungi,100%,Zygomycota,15%,Mucoromycotina_Incertae sedis,13%,Mortierellales,11%,Mortierellaceae,11%,Mortierella,11%,Mortierella epigama,10%
ASV5901,+,Fungi,100%,Basidiomycota,54%,Agaricomycetes,36%,Agaricales,22%,Tricholomataceae,6%,Melanoleuca,6%,Melanoleuca substrictipes,6%
ASV5902,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,89%,Agaricaceae,55%,Macrolepiota,8%,Macrolepiota fuliginosa,8%
ASV5903,+,Fungi,100%,Basidiomycota,45%,Agaricomycetes,31%,Agaricales,22%,Psathyrellaceae,6%,Psathyrella,5%,Psathyrella fibrillosa,5%
ASV5904,+,Fungi,100%,Zygomycota,8%,Mucoromycotina_Incertae sedis,8%,Mortierellales,7%,Mortierellaceae,7%,Mortierella,7%,Mortierella epigama,6%
ASV5906,+,Fungi,100%,Basidiomycota,51%,Pucciniomycetes,27%,Pucciniales,27%,Pucciniaceae,15%,Puccinia,15%,Puccinia funkiae,6%
ASV5907,+,Fungi,100%,Glomeromycota,21%,Glomeromycetes,21%,Glomerales,21%,Glomeraceae,21%,Rhizophagus,16%,Rhizophagus cf irregularis MUCL 43205,5%
ASV5908,+,Fungi,100%,Ascomycota,74%,Saccharomycetes,13%,Saccharomycetales,13%,Saccharomycetales_Incertae sedis,8%,Candida,8%,Candida digboiensis,8%
ASV5909,+,Fungi,100%,Zygomycota,19%,Mucoromycotina_Incertae sedis,18%,Mortierellales,14%,Mortierellaceae,14%,Mortierella,14%,Mortierella epigama,12%
ASV5910,+,Fungi,100%,Ascomycota,35%,Saccharomycetes,14%,Saccharomycetales,14%,Trichomonascaceae,9%,Zygoascus,9%,Zygoascus meyerae,9%
ASV5911,+,Fungi,100%,Basidiomycota,40%,Agaricomycetes,24%,Agaricales,19%,Agaricaceae,6%,Macrolepiota,6%,Macrolepiota fuliginosa,4%
ASV5912,+,Fungi,100%,Chytridiomycota,14%,Chytridiomycetes,14%,Rhizophydiales,14%,Rhizophydiaceae,14%,Rhizophydium,14%,Rhizophydium brooksianum,14%
ASV5913,+,Fungi,100%,Glomeromycota,40%,Glomeromycetes,40%,Glomerales,38%,Glomeraceae,38%,Rhizophagus,9%,Rhizophagus sp MUCL 43208,8%
ASV5914,+,Fungi,100%,Basidiomycota,91%,Agaricomycetes,86%,Agaricales,85%,Entolomataceae,31%,Entoloma,31%,Entoloma conferendum,6%
ASV5915,+,Fungi,100%,Ascomycota,31%,Pezizomycetes,7%,Pezizales,7%,Pezizaceae,6%,Peziza,6%,Peziza depressa,6%
ASV5916,+,Fungi,100%,Ascomycota,94%,Dothideomycetes,30%,Botryosphaeriales,19%,Botryosphaeriaceae,19%,Botryosphaeria,9%,Fusicoccum fabicercianum,5%
