ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV1,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Alternaria,100%,Alternaria alternata,73%
ASV3,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,97%,Epicoccum,97%,Epicoccum sorghi,97%
ASV4,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Gibberella,97%,Fusarium equiseti,92%
ASV5,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Davidiella,100%,Cladosporium pseudocladosporioides,25%
ASV6,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Fusarium,61%,Fusarium sporotrichioides,38%
ASV7,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Xylariales,100%,Hyponectriaceae,98%,Microdochium,86%,Microdochium bolleyi,86%
ASV8,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Cochliobolus,96%,Bipolaris spicifera,94%
ASV9,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Cochliobolus,67%,Curvularia brachyspora,27%
ASV12,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Curvularia,99%,Curvularia inaequalis,56%
ASV14,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideales,100%,Dothioraceae,100%,Kabatiella,100%,Kabatiella bupleuri,39%
ASV16,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Gibberella,99%,Fusarium avenaceum,79%
ASV17,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Davidiella,99%,Cladosporium colombiae,59%
ASV22,+,Fungi,100%,Zygomycota,11%,Mucoromycotina_Incertae sedis,11%,Mortierellales,9%,Mortierellaceae,9%,Mortierella,9%,Mortierella epigama,8%
ASV23,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Gibberella,89%,Fusarium equiseti,58%
ASV25,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,99%,Pleosporales,99%,Pleosporales_Incertae sedis,98%,Phoma,98%,Phoma paspali,98%
ASV30,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Trichosphaeriales,100%,Trichosphaeriales_Incertae sedis,100%,Khuskia,58%,Nigrospora oryzae,57%
ASV32,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Curvularia,93%,Curvularia pseudorobusta,50%
ASV33,+,Fungi,100%,Ascomycota,100%,Leotiomycetes,100%,Erysiphales,100%,Erysiphaceae,100%,Golovinomyces,100%,Golovinomyces biocellatus,100%
ASV35,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,98%,Pleosporales,98%,Pleosporales_Incertae sedis,96%,Phoma,96%,Phoma paspali,96%
ASV37,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,39%,Epicoccum,39%,Epicoccum sorghi,39%
ASV42,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Gibberella,94%,Fusarium equiseti,80%
ASV43,+,Fungi,100%,Ascomycota,96%,Dothideomycetes,92%,Pleosporales,92%,Phaeosphaeriaceae,58%,Phaeosphaeria,56%,Phaeosphaeria phragmitis,38%
ASV49,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Setosphaeria,100%,Exserohilum rostratum,100%
ASV50,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporales_Incertae sedis,87%,Phoma,87%,Epicoccum nigrum,64%
ASV57,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Davidiella,100%,Cladosporium perangustum,61%
ASV62,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,99%,Hypocreales_Incertae sedis,95%,Myrothecium,80%,Myrothecium leucotrichum,80%
ASV63,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,99%,Pleosporales,99%,Pleosporales_Incertae sedis,96%,Phoma,96%,Phoma paspali,95%
ASV64,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Davidiella,100%,Cladosporium perangustum,50%
ASV65,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,98%,Hypocreales,94%,Hypocreales_Incertae sedis,82%,Myrothecium,49%,Myrothecium leucotrichum,49%
ASV66,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,74%,Lasiosphaeriaceae,38%,Podospora,16%,Podospora fimiseda,16%
ASV67,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Davidiella,100%,Davidiella macrospora,74%
ASV68,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Trichosphaeriales,98%,Trichosphaeriales_Incertae sedis,98%,Khuskia,51%,Nigrospora oryzae,50%
ASV70,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Cochliobolus,92%,Bipolaris spicifera,87%
ASV71,+,Fungi,100%,Ascomycota,96%,Sordariomycetes,81%,Hypocreales,31%,Nectriaceae,15%,Gibberella,8%,Fusarium kyushuense,4%
ASV73,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Didymellaceae,100%,Didymella,99%,Phoma tropica,73%
ASV75,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,81%,Botryosphaeriales,81%,Botryosphaeriaceae,81%,Botryosphaeria,57%,Diplodia mutila,30%
ASV76,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Trichosphaeriales,100%,Trichosphaeriales_Incertae sedis,100%,Khuskia,90%,Nigrospora oryzae,46%
ASV77,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,99%,Pleosporales,99%,Pleosporales_Incertae sedis,99%,Phoma,98%,Phoma paspali,98%
ASV79,+,Fungi,100%,Zygomycota,26%,Mucoromycotina_Incertae sedis,26%,Mortierellales,20%,Mortierellaceae,20%,Mortierella,20%,Mortierella epigama,15%
ASV80,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Cochliobolus,100%,Bipolaris heveae,100%
ASV82,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,97%,Pleosporales,97%,Phaeosphaeriaceae,78%,Phaeosphaeria,70%,Phaeosphaeria avenaria f sp tritici 4 MM_2012,52%
ASV83,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Mycosphaerella,100%,Cercospora beticola,22%
ASV84,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,96%,Epicoccum,96%,Epicoccum sorghi,96%
ASV85,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,97%,Ceratobasidiaceae,97%,Ceratobasidium,84%,Ceratobasidium sp AG_L,18%
ASV86,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,98%,Pleosporales,98%,Phaeosphaeriaceae,94%,Phaeosphaeria,53%,Phaeosphaeria phragmitis,34%
ASV87,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Davidiella,100%,Cladosporium perangustum,64%
ASV89,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideales,100%,Dothioraceae,100%,Kabatiella,100%,Kabatiella bupleuri,63%
ASV90,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Leptosphaeriaceae,74%,Coniothyrium,74%,Coniothyrium clematidis_rectae,74%
ASV91,+,Fungi,100%,Ascomycota,88%,Dothideomycetes,80%,Pleosporales,79%,Pleomassariaceae,62%,Helminthosporium,62%,Helminthosporium velutinum,39%
ASV92,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,98%,Pleosporales,98%,Phaeosphaeriaceae,94%,Phaeosphaeria,54%,Phaeosphaeria phragmitis,34%
ASV93,+,Fungi,100%,Zygomycota,65%,Mucoromycotina_Incertae sedis,65%,Mortierellales,61%,Mortierellaceae,61%,Mortierella,61%,Mortierella epigama,31%
ASV94,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Bionectriaceae,99%,Bionectria,99%,Bionectria epichloe,97%
ASV95,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Filobasidiales,100%,Filobasidiaceae,100%,Filobasidium,100%,Filobasidium floriforme,100%
ASV98,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Didymellaceae,100%,Leptosphaerulina,100%,Leptosphaerulina chartarum,100%
ASV100,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,79%,Sclerostagonospora,52%,Sclerostagonospora sp CBS 118152,52%
ASV101,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Sporormiaceae,100%,Preussia,100%,Preussia africana,99%
ASV104,+,Fungi,100%,Chytridiomycota,6%,Chytridiomycetes,6%,Rhizophydiales,5%,Rhizophydiaceae,5%,Rhizophydium,5%,Rhizophydium brooksianum,5%
ASV105,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellaceae,100%,Cryptococcus,100%,Cryptococcus magnus,99%
ASV107,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,99%,Montagnulaceae,70%,Paraconiothyrium,46%,Paraconiothyrium brasiliense,44%
ASV110,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Hypocreales_Incertae sedis,98%,Myrothecium,98%,Myrothecium gramineum,98%
ASV111,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Cochliobolus,99%,Cochliobolus homomorphus,88%
ASV112,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Gibberella,94%,Fusarium equiseti,76%
ASV113,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Clavicipitaceae,100%,Claviceps,100%,Claviceps pusilla,100%
ASV114,+,Fungi,100%,Ascomycota,88%,Dothideomycetes,87%,Pleosporales,83%,Pleosporales_Incertae sedis,23%,Letendraea,23%,Letendraea helminthicola,23%
ASV115,+,Fungi,100%,Zygomycota,100%,Mucoromycotina_Incertae sedis,100%,Mortierellales,100%,Mortierellaceae,100%,Mortierella,100%,Mortierella alpina,82%
ASV117,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Fusarium,49%,Fusarium concolor,39%
ASV118,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellales_Incertae sedis,100%,Dioszegia,100%,Dioszegia takashimae,82%
ASV119,+,Fungi,100%,Zygomycota,11%,Mucoromycotina_Incertae sedis,11%,Mortierellales,9%,Mortierellaceae,9%,Mortierella,9%,Mortierella epigama,9%
ASV120,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,99%,Agaricales,98%,Entolomataceae,43%,Entoloma,39%,Entoloma conferendum,8%
ASV121,+,Fungi,100%,Ascomycota,91%,Dothideomycetes,85%,Pleosporales,83%,Pleomassariaceae,62%,Helminthosporium,62%,Helminthosporium velutinum,38%
ASV122,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellaceae,100%,Cryptococcus,100%,Cryptococcus albidus sp 1,68%
ASV123,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,99%,Ceratobasidiaceae,99%,Thanatephorus,98%,Rhizoctonia solani,72%
ASV124,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Hypocreales_Incertae sedis,100%,Trichothecium,100%,Trichothecium roseum,100%
ASV125,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Gibberella,100%,Fusarium acutatum,43%
ASV126,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Hypocreales_Incertae sedis,99%,Myrothecium,99%,Myrothecium verrucaria,79%
ASV129,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,97%,Pleosporales,97%,Phaeosphaeriaceae,95%,Phaeosphaeria,90%,Phaeosphaeria phragmitis,77%
ASV130,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,98%,Xylariales,98%,Amphisphaeriaceae,98%,Truncatella,80%,Truncatella angustata,80%
ASV131,+,Fungi,100%,Ascomycota,58%,Dothideomycetes,10%,Pleosporales,4%,Massarinaceae,3%,Pseudodictyosporium,3%,Pseudodictyosporium wauense,3%
ASV133,+,Fungi,100%,Ascomycota,86%,Dothideomycetes,75%,Pleosporales,75%,Phaeosphaeriaceae,55%,Phaeosphaeria,24%,Phaeosphaeria phragmitis,22%
ASV134,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Leptosphaeriaceae,36%,Coniothyrium,36%,Coniothyrium nitidae,36%
ASV136,+,Fungi,100%,Zygomycota,99%,Mucoromycotina_Incertae sedis,99%,Mortierellales,99%,Mortierellaceae,99%,Mortierella,99%,Mortierella alpina,84%
ASV139,+,Fungi,100%,Ascomycota,78%,Pezizomycetes,70%,Pezizales,70%,Pezizaceae,69%,Pachyphloeus,51%,Pachyphloeus melanoxanthus,30%
ASV141,+,Fungi,100%,Ascomycota,81%,Saccharomycetes,4%,Saccharomycetales,4%,Saccharomycetales_Incertae sedis,1%,Cyberlindnera,1%,Cyberlindnera fabianii,1%
ASV142,+,Fungi,100%,Ascomycota,96%,Dothideomycetes,95%,Pleosporales,95%,Phaeosphaeriaceae,95%,Phaeosphaeria,89%,Phaeosphaeria phragmitis,69%
ASV143,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Haematonectria,90%,Fusarium falciforme,54%
ASV144,+,Fungi,100%,Basidiomycota,86%,Agaricomycetes,84%,Boletales,11%,Boletaceae,9%,Boletus,9%,Boletus pulchrotinctus,6%
ASV146,+,Fungi,100%,Ascomycota,78%,Lecanoromycetes,25%,Lecanorales,23%,Parmeliaceae,19%,Gowardia,3%,Gowardia nigricans,3%
ASV147,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,96%,Pleosporales,84%,Phaeosphaeriaceae,81%,Phaeosphaeria,77%,Phaeosphaeria phragmitis,60%
ASV149,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,99%,Sordariales,64%,Sordariaceae,25%,Neurospora,25%,Sordaria fimicola UOA/HCPF10849,12%
ASV151,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,65%,Sclerostagonospora,53%,Sclerostagonospora sp CBS 118152,53%
ASV153,+,Fungi,100%,Basidiomycota,93%,Agaricomycetes,92%,Agaricales,92%,Entolomataceae,58%,Entoloma,58%,Entoloma conferendum,11%
ASV154,+,Fungi,100%,Basidiomycota,100%,Microbotryomycetes,99%,Sporidiobolales,99%,Sporidiobolales_Incertae sedis,99%,Sporobolomyces,99%,Sporobolomyces vermiculatus,85%
ASV156,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellaceae,100%,Cryptococcus,100%,Cryptococcus chernovii,100%
ASV157,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,86%,Sclerostagonospora,66%,Sclerostagonospora sp CBS 118152,66%
ASV159,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Gibberella,95%,Fusarium equiseti,87%
ASV161,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellales_Incertae sedis,100%,Dioszegia,100%,Dioszegia takashimae,72%
ASV163,+,Fungi,100%,Basidiomycota,100%,Microbotryomycetes,100%,Sporidiobolales,100%,Sporidiobolales_Incertae sedis,100%,Sporobolomyces,100%,Sporobolomyces vermiculatus,94%
ASV165,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,99%,Capnodiales,99%,Mycosphaerellaceae,16%,Mycosphaerella,14%,Readeriella eucalypti,11%
ASV166,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,99%,Xylariales,99%,Amphisphaeriaceae,98%,Truncatella,70%,Truncatella angustata,70%
ASV167,+,Fungi,100%,Ascomycota,98%,Dothideomycetes,97%,Pleosporales,97%,Phaeosphaeriaceae,93%,Phaeosphaeriopsis,90%,Phaeosphaeria oryzae,87%
ASV168,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Hypocreales_Incertae sedis,97%,Myrothecium,96%,Myrothecium roridum,57%
ASV169,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Chaetomiaceae,96%,Humicola,82%,Humicola fuscoatra,82%
ASV170,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,97%,Pleosporales,87%,Phaeosphaeriaceae,69%,Phaeosphaeria,61%,Phaeosphaeria phragmitis,38%
ASV171,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,99%,Pleosporales,99%,Phaeosphaeriaceae,97%,Phaeosphaeria,91%,Phaeosphaeria phragmitis,73%
ASV172,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariomycetidae_Incertae sedis,100%,Glomerellaceae,100%,Glomerella,100%,Colletotrichum coccodes,86%
ASV173,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Psathyrellaceae,100%,Coprinellus,100%,Coprinellus radians,50%
ASV174,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Cochliobolus,100%,Cochliobolus cynodontis,83%
ASV175,+,Fungi,100%,Ascomycota,98%,Sordariomycetes,90%,Sordariales,53%,Lasiosphaeriaceae,47%,Cladorrhinum,32%,Cladorrhinum phialophoroides,32%
ASV176,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Curvularia,91%,Curvularia trifolii,51%
ASV180,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,98%,Capnodiales,98%,Mycosphaerellaceae,58%,Mycosphaerella,55%,Mycosphaerella verrucosiafricana,53%
ASV181,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,96%,Hypocreales,69%,Hypocreales_Incertae sedis,37%,Stachybotrys,4%,Stachybotrys elegans,3%
ASV184,+,Fungi,100%,Ascomycota,90%,Dothideomycetes,77%,Botryosphaeriales,61%,Botryosphaeriaceae,61%,Microdiplodia,61%,Aporospora terricola,61%
ASV185,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,99%,Pleosporales,99%,Phaeosphaeriaceae,84%,Phaeosphaeria,68%,Phaeosphaeria sp JF_2013,31%
ASV187,+,Fungi,100%,Basidiomycota,99%,Tremellomycetes,99%,Filobasidiales,88%,Filobasidiaceae,88%,Filobasidium,88%,Filobasidium floriforme,88%
ASV188,+,Fungi,100%,Zygomycota,100%,Mucoromycotina_Incertae sedis,100%,Mortierellales,100%,Mortierellaceae,100%,Mortierella,100%,Mortierella alpina,98%
ASV189,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Nectriaceae,100%,Gibberella,87%,Fusarium equiseti,59%
ASV190,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Psathyrellaceae,93%,Coprinopsis,85%,Coprinopsis echinospora,35%
ASV191,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,36%,Capnodiales,36%,Mycosphaerellaceae,29%,Periconiella,11%,Periconiella velutina,11%
ASV193,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,99%,Lasiosphaeriaceae,99%,Podospora,99%,Podospora intestinacea,99%
ASV194,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Ceratobasidium,86%,Ceratobasidium sp AG_Bo,67%
ASV195,+,Fungi,100%,Ascomycota,89%,Dothideomycetes,84%,Pleosporales,83%,Phaeosphaeriaceae,56%,Phaeosphaeria,56%,Phaeosphaeria phragmitis,33%
ASV196,+,Fungi,100%,Basidiomycota,52%,Ustilaginomycetes,14%,Ustilaginales,14%,Ustilaginales_Incertae sedis,9%,Farysizyma,9%,Farysizyma itapuensis,9%
ASV197,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,100%,Sclerostagonospora,100%,Sclerostagonospora sp CBS 118152,100%
ASV198,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,92%,Pleosporales,91%,Phaeosphaeriaceae,89%,Phaeosphaeriopsis,74%,Phaeosphaeria oryzae,74%
ASV199,+,Fungi,100%,Ascomycota,98%,Dothideomycetes,98%,Pleosporales,98%,Phaeosphaeriaceae,96%,Phaeosphaeria,87%,Phaeosphaeria phragmitis,69%
ASV200,+,Fungi,100%,Ascomycota,83%,Saccharomycetes,13%,Saccharomycetales,13%,Saccharomycetales_Incertae sedis,8%,Cyberlindnera,7%,Cyberlindnera fabianii,7%
ASV201,+,Fungi,100%,Ascomycota,97%,Dothideomycetes,96%,Pleosporales,95%,Sporormiaceae,95%,Westerdykella,95%,Westerdykella ornata,59%
ASV202,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Phaeosphaeriaceae,100%,Phaeosphaeria,95%,Phaeosphaeria herpotrichoides,56%
ASV204,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Ceratobasidium,91%,Ceratobasidium sp AG_Bo,72%
ASV205,+,Fungi,100%,Ascomycota,94%,Dothideomycetes,90%,Pleosporales,90%,Pleosporales_Incertae sedis,53%,Ochrocladosporium,29%,Coniothyrium telephii,21%
ASV206,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Hypocreales_Incertae sedis,98%,Myrothecium,94%,Myrothecium leucotrichum,94%
ASV207,+,Fungi,100%,Zygomycota,94%,Mucoromycotina_Incertae sedis,94%,Mortierellales,93%,Mortierellaceae,93%,Mortierella,93%,Mortierella epigama,38%
ASV208,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,97%,Chaetomiaceae,70%,Chaetomium,31%,Chaetomium nigricolor,14%
ASV209,+,Fungi,100%,Ascomycota,100%,Pezizomycotina_Incertae sedis,100%,Pezizomycotina_Incertae sedis,100%,Pezizomycotina_Incertae sedis,100%,Knufia,100%,Sarcinomyces petricola,54%
ASV211,+,Fungi,100%,Ascomycota,83%,Eurotiomycetes,20%,Eurotiales,9%,Trichocomaceae,9%,Emericella,6%,Emericella filifera,3%
ASV212,+,Fungi,100%,Ascomycota,55%,Pezizomycetes,35%,Pezizales,35%,Pezizaceae,34%,Peziza,31%,Peziza depressa,31%
ASV213,+,Fungi,100%,Ascomycota,64%,Dothideomycetes,27%,Pleosporales,26%,Pleomassariaceae,9%,Helminthosporium,8%,Helminthosporium solani,8%
ASV217,+,Fungi,100%,Ascomycota,98%,Dothideomycetes,98%,Pleosporales,97%,Phaeosphaeriaceae,94%,Phaeosphaeriopsis,75%,Phaeosphaeria oryzae,58%
ASV218,+,Fungi,100%,Ascomycota,64%,Eurotiomycetes,13%,Onygenales,6%,Arthrodermataceae,6%,Trichophyton,5%,Trichophyton raubitschekii,5%
ASV221,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,100%,Mycosphaerellaceae,100%,Davidiella,100%,Cladosporium colocasiae,55%
ASV223,+,Fungi,100%,Ascomycota,95%,Dothideomycetes,94%,Pleosporales,94%,Pleosporaceae,82%,Drechslera,21%,Drechslera nobleae,20%
ASV224,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporales_Incertae sedis,100%,Periconia,100%,Periconia macrospinosa,100%
ASV225,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Cochliobolus,98%,Bipolaris spicifera,98%
ASV226,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,99%,Sordariales,79%,Lasiosphaeriaceae,78%,Podospora,67%,Podospora intestinacea,66%
ASV228,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,99%,Pleosporales,68%,Phaeosphaeriaceae,57%,Sclerostagonospora,38%,Sclerostagonospora sp CBS 118152,37%
ASV231,+,Fungi,100%,Chytridiomycota,13%,Chytridiomycetes,13%,Rhizophydiales,10%,Rhizophydiaceae,9%,Rhizophydium,9%,Rhizophydium pollinis_pini,8%
ASV232,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,74%,Sordariales,66%,Sordariales_Incertae sedis,18%,Madurella,18%,Madurella mycetomatis,18%
ASV233,+,Fungi,100%,Ascomycota,89%,Dothideomycetes,81%,Pleosporales,81%,Pleomassariaceae,64%,Helminthosporium,64%,Helminthosporium velutinum,40%
ASV234,+,Fungi,100%,Ascomycota,92%,Dothideomycetes,81%,Botryosphaeriales,62%,Botryosphaeriaceae,62%,Microdiplodia,62%,Aporospora terricola,62%
ASV235,+,Fungi,100%,Ascomycota,78%,Dothideomycetes,57%,Pleosporales,53%,Sporormiaceae,23%,Westerdykella,7%,Westerdykella ornata,7%
ASV236,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,99%,Pleosporales,99%,Phaeosphaeriaceae,93%,Phaeosphaeriopsis,79%,Phaeosphaeria oryzae,70%
ASV237,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Lewia,100%,Alternaria triticina,25%
ASV238,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Psathyrellaceae,95%,Coprinopsis,94%,Coprinopsis echinospora,62%
ASV239,+,Fungi,100%,Ascomycota,98%,Dothideomycetes,96%,Pleosporales,96%,Phaeosphaeriaceae,94%,Phaeosphaeria,83%,Phaeosphaeria phragmitis,57%
ASV240,+,Fungi,100%,Basidiomycota,100%,Tremellomycetes,100%,Tremellales,100%,Tremellaceae,100%,Cryptococcus,100%,Cryptococcus albidus sp 1,99%
ASV241,+,Fungi,100%,Ascomycota,99%,Dothideomycetes,99%,Pleosporales,99%,Phaeosphaeriaceae,95%,Phaeosphaeriopsis,94%,Phaeosphaeria oryzae,92%
ASV242,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Hypocreales_Incertae sedis,98%,Myrothecium,94%,Myrothecium leucotrichum,94%
ASV243,+,Fungi,100%,Ascomycota,97%,Sordariomycetes,83%,Hypocreales,45%,Nectriaceae,15%,Fusarium,3%,Fusarium poae,0%
